> switched to db stocks_yahoo_NYSE
> > > > > > > > > > ... ... ... ... > > > ... ... ... ... ... ... ... ... > > > > > > > > > > > > > > ... ... ... ... ... > > ... ... ... ... ... ... ... ... ... ... ... ... > > > > ... ... ... ... 5
> > > > > > > > > > > > #ABI
> # Date	SMA	open	low	high	close
> ... ... 2001-01-02	85.81	93.81	84	93.81	85.81
2001-01-03	84	85.25	76.19	86.56	84
2001-01-04	82.31	84.75	80.5	85.81	82.31
2001-01-05	70.38	80.44	63.75	80.44	70.38
2001-01-08	62.5	69.75	60.5	69.81	62.5
2001-01-09	68.12	63	60.5	70	68.12
2001-01-10	72	68	67.38	72.62	72
2001-01-11	76.69	75.25	74	78	76.69
2001-01-12	78.81	78	76.69	80.5	78.81
2001-01-16	79.75	79.25	75.25	79.75	79.75
2001-01-17	78.38	82.38	77.38	83.25	78.38
2001-01-18	79.62	78.38	76.62	80.25	79.62
2001-01-19	80.38	79.38	77.81	80.5	80.38
2001-01-22	83.5	80.38	79.38	83.69	83.5
2001-01-23	87.75	83.5	81.44	89.56	87.75
2001-01-24	92.5	88	87.75	94.25	92.5
2001-01-25	89.62	92.38	89.44	92.44	89.62
2001-01-26	84.56	89.25	82.25	90.12	84.56
2001-01-29	87.14	84.6	84.15	87.4	87.14
2001-01-30	86.3	88.5	85	88.5	86.3
2001-01-31	84	85.5	81.5	85.75	84
2001-02-01	76.95	82	76.44	83.27	76.95
2001-02-02	72.7	77.1	71	78.75	72.7
2001-02-05	68	72.7	66.96	73	68
2001-02-06	73	68.1	68	74.32	73
2001-02-07	74	75	72.95	75.68	74
2001-02-08	74	74.25	73.74	76.75	74
2001-02-09	72.91	74	71.75	74	72.91
2001-02-12	77	72.91	72.3	77.85	77
2001-02-13	72.91	76.75	71.68	77.3	72.91
2001-02-14	74.56	72.8	71.06	74.75	74.56
2001-02-15	78.75	75.25	75.01	78.75	78.75
2001-02-16	76.5	77.5	75.7	78.74	76.5
2001-02-20	72.96	75.75	71.7	76.85	72.96
2001-02-21	69.65	72.25	68.7	72.6	69.65
2001-02-22	66.01	69.4	62.75	69.62	66.01
2001-02-23	69.1	66.05	66	70.89	69.1
2001-02-26	74.5	68.85	68.85	74.5	74.5
2001-02-27	67.97	74	67	74.01	67.97
2001-02-28	69.1	68.2	67.5	72.5	69.1
2001-03-01	68.95	68	63.85	69	68.95
> > > > > > > bye
